Scenario,File size (GB),Type,Makespan
\textsc{PegDecaf},16,nosleep,104.14
\textsc{PegDecaf},16,nosleep,106.45
\textsc{PegDecaf},16,nosleep,118.09
\textsc{PegDecaf},16,nosleep,103.20
\textsc{PegDecaf},16,nosleep,103.01
\textsc{PegDecaf},16,nosleep,102.42
\textsc{PegDecaf},16,nosleep,108.67
\textsc{PegDecaf},16,nosleep,107.93
\textsc{PegDecaf},16,nosleep,101.43
\textsc{PegDecaf},16,nosleep,103.85
\textsc{PegDecaf},16,sleep,127.21
\textsc{PegDecaf},16,sleep,127.78
\textsc{PegDecaf},16,sleep,127.11
\textsc{PegDecaf},16,sleep,127.87
\textsc{PegDecaf},16,sleep,138.14
\textsc{PegDecaf},16,sleep,127.83
\textsc{PegDecaf},16,sleep,137.84
\textsc{PegDecaf},16,sleep,126.96
\textsc{PegDecaf},16,sleep,126.27
\textsc{PegDecaf},16,sleep,127.35
\textsc{PegDecaf},1,nosleep,24.11
\textsc{PegDecaf},1,nosleep,28.30
\textsc{PegDecaf},1,nosleep,24.11
\textsc{PegDecaf},1,nosleep,27.65
\textsc{PegDecaf},1,nosleep,25.76
\textsc{PegDecaf},1,nosleep,25.96
\textsc{PegDecaf},1,nosleep,25.73
\textsc{PegDecaf},1,nosleep,25.22
\textsc{PegDecaf},1,nosleep,25.67
\textsc{PegDecaf},1,nosleep,24.74
\textsc{PegDecaf},1,sleep,24.84
\textsc{PegDecaf},1,sleep,25.34
\textsc{PegDecaf},1,sleep,26.13
\textsc{PegDecaf},1,sleep,30.70
\textsc{PegDecaf},1,sleep,30.71
\textsc{PegDecaf},1,sleep,26.86
\textsc{PegDecaf},1,sleep,28.45
\textsc{PegDecaf},1,sleep,28.86
\textsc{PegDecaf},1,sleep,28.48
\textsc{PegDecaf},1,sleep,27.24
\textsc{PegDecaf},2,nosleep,31.18
\textsc{PegDecaf},2,nosleep,32.63
\textsc{PegDecaf},2,nosleep,29.02
\textsc{PegDecaf},2,nosleep,29.01
\textsc{PegDecaf},2,nosleep,41.05
\textsc{PegDecaf},2,nosleep,35.13
\textsc{PegDecaf},2,nosleep,35.13
\textsc{PegDecaf},2,nosleep,34.15
\textsc{PegDecaf},2,nosleep,40.19
\textsc{PegDecaf},2,nosleep,35.14
\textsc{PegDecaf},2,sleep,31.89
\textsc{PegDecaf},2,sleep,31.72
\textsc{PegDecaf},2,sleep,53.02
\textsc{PegDecaf},2,sleep,31.95
\textsc{PegDecaf},2,sleep,31.62
\textsc{PegDecaf},2,sleep,31.64
\textsc{PegDecaf},2,sleep,31.84
\textsc{PegDecaf},2,sleep,31.91
\textsc{PegDecaf},2,sleep,31.44
\textsc{PegDecaf},2,sleep,31.60
\textsc{PegDecaf},4,nosleep,44.90
\textsc{PegDecaf},4,nosleep,38.39
\textsc{PegDecaf},4,nosleep,40.04
\textsc{PegDecaf},4,nosleep,39.26
\textsc{PegDecaf},4,nosleep,41.15
\textsc{PegDecaf},4,nosleep,42.93
\textsc{PegDecaf},4,nosleep,39.69
\textsc{PegDecaf},4,nosleep,39.15
\textsc{PegDecaf},4,nosleep,42.00
\textsc{PegDecaf},4,nosleep,39.48
\textsc{PegDecaf},4,sleep,46.12
\textsc{PegDecaf},4,sleep,48.54
\textsc{PegDecaf},4,sleep,45.92
\textsc{PegDecaf},4,sleep,45.85
\textsc{PegDecaf},4,sleep,46.23
\textsc{PegDecaf},4,sleep,46.08
